Lift	Drag	Velocity	Time (s)
131.128104	27.102102	48.006121	0.000000
130.887903	26.796799	48.006121	0.250000
131.015860	27.591484	48.006121	0.500000
130.863209	29.140447	48.006121	0.750000
130.930555	28.664534	48.006121	1.000000
130.874433	27.982092	48.006121	1.250000
130.854229	27.167203	48.006121	1.500000
130.883413	26.776595	48.006121	1.750000
130.863209	27.602709	48.006121	2.000000
130.847495	27.755360	48.006121	2.250000
131.063003	29.580442	48.006121	2.500000
133.251754	26.911288	48.006121	2.750000
130.721782	33.960189	48.006121	3.000000
130.887903	28.348006	48.006121	3.250000
130.919331	30.074314	48.006121	3.500000
130.874433	31.450421	48.006121	3.750000
130.930555	31.661439	48.006121	4.000000
130.881168	28.379435	48.006121	4.250000
130.869944	27.728422	48.006121	4.500000
131.027085	27.023531	48.006121	4.750000
130.876678	29.912683	48.006121	5.000000
130.881168	29.555748	48.006121	5.250000
130.932800	27.732911	48.006121	5.500000
130.961983	27.964133	48.006121	5.750000
131.040554	29.719624	48.006121	6.000000
130.867699	28.783512	48.006121	6.250000
130.894637	28.678003	48.006121	6.500000
130.890147	31.903885	48.006121	6.750000
130.869944	29.524320	48.006121	7.000000
130.876678	27.039246	48.006121	7.250000
130.858719	28.983306	48.006121	7.500000
130.878923	28.193110	48.006121	7.750000
130.959739	30.274108	48.006121	8.000000
130.923821	28.686982	48.006121	8.250000
130.939535	27.353528	48.006121	8.500000
130.867699	28.541066	48.006121	8.750000
130.881168	31.421238	48.006121	9.000000
130.863209	28.395149	48.006121	9.250000
130.851985	28.630860	48.006121	9.500000
130.973208	31.023895	48.006121	9.750000
130.867699	32.341636	48.006121	10.000000
130.941780	32.083475	48.006121	10.250000
130.896882	32.180005	48.006121	10.500000
131.168512	26.953940	48.006121	10.750000
130.984432	29.948601	48.006121	11.000000
130.899127	33.468562	48.006121	11.250000
130.863209	32.251841	48.006121	11.500000
130.847495	34.431612	48.006121	11.750000
130.890147	30.478391	48.006121	12.000000
130.847495	28.363721	48.006121	12.250000
130.836271	35.776291	48.006121	12.500000
130.838515	31.160832	48.006121	12.750000
130.883413	31.654704	48.006121	13.000000
130.876678	27.798013	48.006121	13.250000
130.869944	27.869849	48.006121	13.500000
130.894637	28.381680	48.006121	13.750000
130.851985	30.750021	48.006121	14.000000
131.058513	29.113508	48.006121	14.250000
130.896882	27.643116	48.006121	14.500000
130.856474	30.788183	48.006121	14.750000
130.840760	28.401883	48.006121	15.000000
131.018105	31.084507	48.006121	15.250000
130.854229	29.818398	48.006121	15.500000
130.838515	27.905767	48.006121	15.750000
130.834026	28.231273	48.006121	16.000000
130.849740	27.129040	48.006121	16.250000
130.865454	26.895574	48.006121	16.500000
130.822801	27.310875	48.006121	16.750000
130.847495	27.425364	48.006121	17.000000
130.874433	27.115571	48.006121	17.250000
130.872188	29.899214	48.006121	17.500000
130.876678	28.348006	48.006121	17.750000
130.917086	28.990040	48.006121	18.000000
130.829536	29.138202	48.006121	18.250000
130.851985	28.062908	48.006121	18.500000
130.872188	27.470261	48.006121	18.750000
130.865454	26.722718	48.006121	19.000000
130.905862	28.233518	48.006121	19.250000
130.860964	29.371669	48.006121	19.500000
131.006881	30.161864	48.006121	19.750000
130.867699	28.920449	48.006121	20.000000
130.874433	27.216590	48.006121	20.250000
130.854229	31.598583	48.006121	20.500000
