Lift	Drag	Velocity	Time (s)
110.859145	27.941684	48.006121	0.000000
108.533457	26.971899	48.006121	0.250000
108.614272	26.581291	48.006121	0.500000
108.542436	26.632923	48.006121	0.750000
108.733250	26.693535	48.006121	1.000000
109.036308	26.700270	48.006121	1.250000
109.043043	26.545373	48.006121	1.500000
110.293437	26.646393	48.006121	1.750000
109.040798	26.796799	48.006121	2.000000
109.215898	26.527414	48.006121	2.250000
109.696301	26.628434	48.006121	2.500000
108.589579	26.570067	48.006121	2.750000
108.874677	26.592516	48.006121	3.000000
110.978124	26.552108	48.006121	3.250000
109.453855	26.664352	48.006121	3.500000
108.661415	26.722718	48.006121	3.750000
108.951003	26.675576	48.006121	4.000000
108.704067	26.682311	48.006121	4.250000
109.036308	26.639658	48.006121	4.500000
109.992624	26.659862	48.006121	4.750000
109.316917	26.650882	48.006121	5.000000
108.901616	26.951695	48.006121	5.250000
109.516711	26.585781	48.006121	5.500000
108.780393	26.556598	48.006121	5.750000
108.674884	26.949451	48.006121	6.000000
108.470600	26.545373	48.006121	6.250000
108.643456	26.650882	48.006121	6.500000
109.357325	26.666597	48.006121	6.750000
113.144426	26.648638	48.006121	7.000000
109.938747	26.731698	48.006121	7.250000
111.305875	26.662107	48.006121	7.500000
109.069981	26.572312	48.006121	7.750000
108.580599	26.623944	48.006121	8.000000
108.461621	26.996593	48.006121	8.250000
108.933044	26.693535	48.006121	8.500000
109.182225	26.655372	48.006121	8.750000
108.672639	26.763126	48.006121	9.000000
108.780393	26.520680	48.006121	9.250000
108.546926	26.967410	48.006121	9.500000
108.623252	28.606167	48.006121	9.750000
108.542436	26.608230	48.006121	10.000000
108.546926	26.581291	48.006121	10.250000
109.337121	26.561088	48.006121	10.500000
110.984858	26.585781	48.006121	10.750000
110.201397	26.727208	48.006121	11.000000
108.753454	26.648638	48.006121	11.250000
109.478548	26.778840	48.006121	11.500000
109.494262	26.581291	48.006121	11.750000
109.094675	26.675576	48.006121	12.000000
111.626892	26.597006	48.006121	12.250000
110.551598	26.911288	48.006121	12.500000
110.365273	26.893329	48.006121	12.750000
109.150797	26.617209	48.006121	13.000000
109.891605	26.543129	48.006121	13.250000
109.373039	26.619454	48.006121	13.500000
108.542436	26.529659	48.006121	13.750000
108.564885	26.594761	48.006121	14.000000
109.305693	27.465771	48.006121	14.250000
109.408957	26.534149	48.006121	14.500000
109.864667	26.637413	48.006121	14.750000
111.299140	26.547618	48.006121	15.000000
108.477335	27.470261	48.006121	15.250000
108.836515	27.090878	48.006121	15.500000
110.178949	26.787820	48.006121	15.750000
109.970176	26.707004	48.006121	16.000000
109.707525	27.010062	48.006121	16.250000
108.665904	27.023531	48.006121	16.500000
108.517743	26.796799	48.006121	16.750000
108.760189	26.828227	48.006121	17.000000
110.829962	26.536394	48.006121	17.250000
110.856900	26.765371	48.006121	17.500000
109.619975	27.010062	48.006121	17.750000
109.126103	26.529659	48.006121	18.000000
110.001604	26.668841	48.006121	18.250000
108.897126	26.590271	48.006121	18.500000
109.990379	26.612720	48.006121	18.750000
109.332632	26.565577	48.006121	19.000000
110.542618	26.579047	48.006121	19.250000
109.029574	26.543129	48.006121	19.500000
109.422427	26.621699	48.006121	19.750000
109.561609	26.547618	48.006121	20.000000
