Lift	Drag	Velocity	Time (s)
100.337425	79.376216	48.006121	0.000000
83.893730	71.393447	48.006121	0.250000
85.330449	71.873850	48.006121	0.500000
85.352898	68.960005	48.006121	0.750000
82.681499	69.734486	48.006121	1.000000
85.927585	71.413651	48.006121	1.250000
85.759220	75.629523	48.006121	1.500000
86.517987	73.276896	48.006121	1.750000
85.052085	73.445261	48.006121	2.000000
88.634902	75.840541	48.006121	2.250000
86.347376	75.636257	48.006121	2.500000
89.820195	76.547676	48.006121	2.750000
104.833906	79.329073	48.006121	3.000000
108.380805	82.397815	48.006121	3.250000
94.698304	76.787877	48.006121	3.500000
80.463564	73.613627	48.006121	3.750000
90.965080	77.176240	48.006121	4.000000
85.911871	71.916503	48.006121	4.250000
85.801872	71.240796	48.006121	4.500000
85.911871	71.669567	48.006121	4.750000
86.381050	75.773194	48.006121	5.000000
86.219419	73.382405	48.006121	5.250000
88.760615	76.374820	48.006121	5.500000
89.481219	73.959337	48.006121	5.750000
97.291133	75.524014	48.006121	6.000000
87.108388	74.531780	48.006121	6.250000
79.493779	71.422631	48.006121	6.500000
84.706374	73.775257	48.006121	6.750000
86.722270	72.331804	48.006121	7.000000
85.646976	71.584261	48.006121	7.250000
85.938810	73.496893	48.006121	7.500000
85.985952	73.858318	48.006121	7.750000
86.154317	72.504659	48.006121	8.000000
86.008401	72.250989	48.006121	8.250000
100.802114	76.671144	48.006121	8.500000
85.967993	74.444230	48.006121	8.750000
90.417331	74.855041	48.006121	9.000000
109.099165	83.879431	48.006121	9.250000
101.576595	81.823127	48.006121	9.500000
97.286643	79.284176	48.006121	9.750000
92.195271	74.639534	48.006121	10.000000
85.328204	71.855891	48.006121	10.250000
94.094433	75.770950	48.006121	10.500000
86.764923	72.192622	48.006121	10.750000
88.035521	73.200570	48.006121	11.000000
88.621433	78.096638	48.006121	11.250000
86.897370	72.717922	48.006121	11.500000
87.135327	73.465465	48.006121	11.750000
100.478852	75.407280	48.006121	12.000000
87.314917	75.730542	48.006121	12.250000
107.119187	80.267430	48.006121	12.500000
100.624769	72.156704	48.006121	12.750000
89.732645	73.420568	48.006121	13.000000
102.656379	81.259664	48.006121	13.250000
95.028301	78.776835	48.006121	13.500000
96.422367	77.140322	48.006121	13.750000
92.736285	75.708093	48.006121	14.000000
85.945544	72.809962	48.006121	14.250000
85.967993	71.615690	48.006121	14.500000
86.210439	72.176908	48.006121	14.750000
86.412478	76.680123	48.006121	15.000000
86.259826	74.154641	48.006121	15.250000
88.219601	75.795643	48.006121	15.500000
87.431650	74.049132	48.006121	15.750000
87.575322	75.739521	48.006121	16.000000
89.710196	73.407098	48.006121	16.250000
88.024297	75.656461	48.006121	16.500000
88.783064	72.015277	48.006121	16.750000
86.937778	71.153246	48.006121	17.000000
94.298717	79.962128	48.006121	17.250000
86.753698	71.808749	48.006121	17.500000
80.021324	71.687526	48.006121	17.750000
85.411264	71.422631	48.006121	18.000000
85.925340	76.152578	48.006121	18.250000
85.936565	72.749350	48.006121	18.500000
85.227185	71.173450	48.006121	18.750000
86.017380	73.797706	48.006121	19.000000
