Lift	Drag	Velocity	Time (s)
18.615067	21.999506	48.006121	0.000000
18.976491	24.206216	48.006121	0.250000
18.612822	23.207247	48.006121	0.500000
18.814861	22.646029	48.006121	0.750000
18.639760	23.862750	48.006121	1.000000
18.653230	24.242134	48.006121	1.250000
18.677923	22.989495	48.006121	1.500000
18.583639	25.306204	48.006121	1.750000
18.639760	25.418447	48.006121	2.000000
18.693637	26.096399	48.006121	2.250000
18.592618	25.743954	48.006121	2.500000
18.630781	22.789701	48.006121	2.750000
18.583639	22.661743	48.006121	3.000000
18.619557	22.803170	48.006121	3.250000
18.621802	24.771924	48.006121	3.500000
18.597108	22.942352	48.006121	3.750000
18.837309	25.878646	48.006121	4.000000
18.653230	23.133166	48.006121	4.250000
18.583639	24.572130	48.006121	4.500000
18.601598	21.168902	48.006121	4.750000
18.630781	21.202576	48.006121	5.000000
18.603843	21.626857	48.006121	5.250000
18.691393	24.495804	48.006121	5.500000
18.608332	23.730303	48.006121	5.750000
18.628536	25.310693	48.006121	6.000000
18.601598	24.769679	48.006121	6.250000
18.630781	23.288063	48.006121	6.500000
18.633026	24.168053	48.006121	6.750000
18.594863	25.553140	48.006121	7.000000
18.437722	24.116421	48.006121	7.250000
18.601598	24.805597	48.006121	7.500000
18.583639	24.612538	48.006121	7.750000
18.592618	26.224357	48.006121	8.000000
18.576904	25.869667	48.006121	8.250000
18.657719	23.130922	48.006121	8.500000
18.637516	25.640690	48.006121	8.750000
18.635271	22.533785	48.006121	9.000000
18.583639	26.273744	48.006121	9.250000
18.747514	24.704578	48.006121	9.500000
18.615067	24.639476	48.006121	9.750000
18.617312	26.134562	48.006121	10.000000
18.628536	23.678671	48.006121	10.250000
18.601598	25.618241	48.006121	10.500000
18.594863	23.797649	48.006121	10.750000
18.615067	24.679884	48.006121	11.000000
18.601598	26.188439	48.006121	11.250000
18.653230	22.385624	48.006121	11.500000
18.527517	24.603558	48.006121	11.750000
18.601598	25.369060	48.006121	12.000000
18.608332	24.962738	48.006121	12.250000
18.621802	25.057023	48.006121	12.500000
18.590373	26.015583	48.006121	12.750000
18.583639	25.169266	48.006121	13.000000
18.615067	23.885199	48.006121	13.250000
18.608332	25.371305	48.006121	13.500000
18.606087	25.373550	48.006121	13.750000
18.603843	22.672967	48.006121	14.000000
18.574659	24.691108	48.006121	14.250000
18.606087	23.220716	48.006121	14.500000
18.610577	25.027839	48.006121	14.750000
18.603843	25.126614	48.006121	15.000000
18.615067	25.512732	48.006121	15.250000
18.601598	23.739282	48.006121	15.500000
18.561190	22.917659	48.006121	15.750000
18.606087	21.310329	48.006121	16.000000
18.615067	24.980697	48.006121	16.250000
18.601598	22.356440	48.006121	16.500000
18.549966	24.686619	48.006121	16.750000
18.610577	26.157010	48.006121	17.000000
18.866493	21.723386	48.006121	17.250000
18.680168	25.110900	48.006121	17.500000
18.590373	25.492528	48.006121	17.750000
18.583639	23.512550	48.006121	18.000000
18.590373	22.538275	48.006121	18.250000
18.633026	21.200331	48.006121	18.500000
18.617312	24.886412	48.006121	18.750000
18.576904	19.777081	48.006121	19.000000
18.601598	24.911106	48.006121	19.250000
18.702617	24.765189	48.006121	19.500000
18.520782	25.544160	48.006121	19.750000
18.608332	24.152339	48.006121	20.000000
18.590373	24.410499	48.006121	20.250000
18.599353	25.339877	48.006121	20.500000
18.572414	24.666415	48.006121	20.750000
18.592618	24.399275	48.006121	21.000000
18.603843	23.748262	48.006121	21.250000
18.668944	23.936831	48.006121	21.500000
18.505068	25.045798	48.006121	21.750000
18.576904	26.255785	48.006121	22.000000
18.601598	20.524624	48.006121	22.250000
18.590373	24.287031	48.006121	22.500000
18.608332	23.775200	48.006121	22.750000
18.624046	22.715620	48.006121	23.000000
18.572414	23.741527	48.006121	23.250000
